path,entrypoint_type,confidence,reasons,themes
audit_composite_apartments.py,candidate_entrypoint,70,has __main__ guard,"access_control, schema_db"
audit_logger.py,candidate_entrypoint,70,has __main__ guard; has argparse,"schema_db, telegram_bot"
audit_osbb_telegram_messages.py,candidate_entrypoint,70,has __main__ guard,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
audit_registry.py,candidate_entrypoint,70,has __main__ guard,schema_db
audit_tbot_quarantine.py,candidate_entrypoint,70,has __main__ guard,"access_control, parking_time, schema_db"
billing/build_parking_time_review_tasks.py,candidate_entrypoint,70,has __main__ guard,"parking_time, schema_db"
billing/import_ohorona_parking_time.py,candidate_entrypoint,70,has __main__ guard; has argparse,"parking_time, schema_db, telegram_bot"
billing/import_ohorona_parking_time_simple_preview.py,candidate_entrypoint,70,has __main__ guard; has argparse,"parking_time, schema_db, telegram_bot"
billing/import_parking_time_hints_from_ohorona.py,candidate_entrypoint,70,has __main__ guard,"parking_time, schema_db"
billing/migrate_add_parking_billing.py,candidate_entrypoint,85,has __main__ guard,"cashier, parking_time, schema_db, telegram_bot"
billing/report_parking_time_review_tasks.py,candidate_entrypoint,70,has __main__ guard,"access_control, parking_time, schema_db, telegram_bot"
billing/report_parking_time_with_hints.py,candidate_entrypoint,70,has __main__ guard,"access_control, parking_time, schema_db, telegram_bot"
billing_reconciliation_report.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
billing_statement_excel.py,candidate_entrypoint,70,has __main__ guard; has argparse,"access_control, cashier, parking_time, schema_db"
Bots/data_park_bot.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has telegram application/handler hints,"parking_time, remote, schema_db, telegram_bot"
Bots/hello.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has telegram application/handler hints,"parking_time, remote, telegram_bot"
Bots/parking_bot - Copy.py,candidate_entrypoint,90,has __main__ guard; has telegram application/handler hints,"access_control, parking_time, remote, schema_db, telegram_bot"
Bots/parking_bot.py,runtime_or_cli_entrypoint,78,runtime_or_cli_entrypoint; has __main__ guard; has telegram application/handler hints,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
Bots/parking_bot_before_cashier_editor_2026-06-25_14-45-08.py,candidate_entrypoint,90,has __main__ guard; has telegram application/handler hints,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
Bots/parking_bot_before_client_portal_2026-06-25_10-25-49.py,candidate_entrypoint,90,has __main__ guard; has telegram application/handler hints,"access_control, parking_time, remote, schema_db, telegram_bot"
