path,suffix,size_bytes,lines,modified_at,kind,category,confidence,reasons,themes
access_control.py,.py,11350,400,2026-06-26 12:15:06,python,source_module,40,regular source module candidate,"access_control, cashier, schema_db, telegram_bot"
audit_composite_apartments.py,.py,3561,178,2026-06-16 12:38:11,python,import_cleanup_audit,65,import/clean/audit/normalization filename,"access_control, schema_db"
audit_logger.py,.py,8248,297,2026-06-21 11:50:31,python,import_cleanup_audit,65,import/clean/audit/normalization filename,"schema_db, telegram_bot"
audit_osbb_telegram_messages.py,.py,4532,201,2026-06-10 13:29:28,python,import_cleanup_audit,65,import/clean/audit/normalization filename,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
audit_registry.py,.py,6855,256,2026-06-08 17:23:55,python,import_cleanup_audit,65,import/clean/audit/normalization filename,schema_db
audit_tbot_quarantine.py,.py,13621,469,2026-06-08 19:51:16,python,import_cleanup_audit,65,import/clean/audit/normalization filename,"access_control, parking_time, schema_db"
billing/build_parking_time_review_tasks.py,.py,4229,196,2026-06-11 19:50:13,python,report_export,70,report/export/billing filename,"parking_time, schema_db"
billing/import_ohorona_parking_time.py,.py,13572,435,2026-06-17 23:17:52,python,report_export,70,report/export/billing filename,"parking_time, schema_db, telegram_bot"
billing/import_ohorona_parking_time_simple_preview.py,.py,14574,472,2026-06-18 13:48:12,python,report_export,70,report/export/billing filename,"parking_time, schema_db, telegram_bot"
billing/import_parking_time_hints_from_ohorona.py,.py,10067,366,2026-06-11 19:14:39,python,report_export,70,report/export/billing filename,"parking_time, schema_db"
billing/migrate_add_parking_billing.py,.py,4302,173,2026-06-11 16:45:02,python,installer_patch_migration,85,installer/patch/migration/preflight filename,"cashier, parking_time, schema_db, telegram_bot"
billing/report_missing_parking_time.py,.py,0,1,2026-06-11 16:46:05,python,report_export,70,report/export/billing filename,parking_time
billing/report_parking_time_review_tasks.py,.py,6397,233,2026-06-11 20:10:37,python,report_export,70,report/export/billing filename,"access_control, parking_time, schema_db, telegram_bot"
billing/report_parking_time_with_hints.py,.py,14069,494,2026-06-11 21:34:07,python,report_export,70,report/export/billing filename,"access_control, parking_time, schema_db, telegram_bot"
billing_reconciliation_report.py,.py,15127,396,2026-06-19 16:13:33,python,report_export,70,report/export/billing filename,"access_control, cashier, parking_time, schema_db"
billing_statement_excel.py,.py,17301,551,2026-06-20 21:47:19,python,report_export,70,report/export/billing filename,"access_control, cashier, parking_time, schema_db"
Bots/data_park_bot.py,.py,4181,155,2026-06-06 18:08:05,python,runtime_or_cli_entrypoint,78,contains main/argparse/telegram application hint,"parking_time, remote, schema_db, telegram_bot"
Bots/db_access - Copy.py,.py,127095,4914,2026-06-21 13:56:45,python,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
Bots/db_access.py,.py,161700,6012,2026-06-23 19:50:58,python,source_module,40,regular source module candidate,"access_control, cashier, parking_time, remote, schema_db, telegram_bot"
Bots/handlers/__init___.py,.py,0,1,2026-06-14 21:01:57,python,bot_handler,88,telegram handler/workspace module,
Bots/handlers/agreement - Copy.py,.py,17445,542,2026-06-16 21:00:57,python,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"access_control, parking_time, schema_db, telegram_bot"
Bots/handlers/agreement.py,.py,17595,542,2026-06-17 12:09:08,python,bot_handler,88,telegram handler/workspace module,"access_control, parking_time, schema_db, telegram_bot"
