path,line,table,context
access_control.py,16,__future__,from __future__ import annotations
access_control.py,20,datetime,from datetime import datetime
access_control.py,21,pathlib,from pathlib import Path
access_control.py,22,typing,from typing import Any
access_control.py,29,config,"from config import paths, USE_TEST_DB"
access_control.py,32,audit_logger,from audit_logger import audit_log
access_control.py,32,audit_log,from audit_logger import audit_log
access_control.py,34,audit_log,audit_log = None
access_control.py,72,sqlite_master,"""SELECT 1 FROM sqlite_master WHERE type='table' AND name=?"","
access_control.py,89,audit_log,"""access_audit_log"","
access_control.py,131,access_user_permissions,FROM access_user_permissions
access_control.py,159,access_user_roles,FROM access_user_roles ur
access_control.py,160,access_roles,JOIN access_roles r
access_control.py,163,access_role_permissions,JOIN access_role_permissions rp
access_control.py,274,access_user_roles,FROM access_user_roles ur
access_control.py,275,access_roles,LEFT JOIN access_roles r ON r.role_code = ur.role_code
access_control.py,324,access_audit_log,INSERT INTO access_audit_log (
access_control.py,324,audit_log,INSERT INTO access_audit_log (
access_control.py,363,audit_log,operator_audit_log. Caller controls transaction commit.
access_control.py,363,operator_audit_log,operator_audit_log. Caller controls transaction commit.
access_control.py,378,audit_log,if audit_log:
access_control.py,379,audit_log,audit_log(
audit_composite_apartments.py,1,apartments,# audit_composite_apartments.py
audit_composite_apartments.py,3,pathlib,from pathlib import Path
audit_composite_apartments.py,13,config,from config import paths
audit_composite_apartments.py,30,apartments,def get_main_apartments():
audit_composite_apartments.py,36,apartments,FROM apartments
audit_composite_apartments.py,60,tbot_parking_import,FROM tbot_parking_import
audit_composite_apartments.py,85,apartments,def split_apartments(apartment_number):
audit_composite_apartments.py,99,apartments,main_apartments = set(get_main_apartments())
audit_composite_apartments.py,124,apartments,"print(""No composite apartments found."")"
audit_composite_apartments.py,148,apartments,parts = split_apartments(apartment_number)
audit_composite_apartments.py,153,apartments,"main_apartments,"
audit_logger.py,1,pathlib,from pathlib import Path
audit_logger.py,4,datetime,from datetime import datetime
audit_logger.py,14,config,"from config import paths, USE_TEST_DB"
audit_logger.py,31,sqlite_master,"cur.execute(""SELECT name FROM sqlite_master WHERE type='table' AND name=?"", (table_name,))"
audit_logger.py,48,audit_log,def ensure_audit_log(conn):
audit_logger.py,52,IF,CREATE TABLE IF NOT EXISTS operator_audit_log (
audit_logger.py,52,audit_log,CREATE TABLE IF NOT EXISTS operator_audit_log (
audit_logger.py,52,operator_audit_log,CREATE TABLE IF NOT EXISTS operator_audit_log (
audit_logger.py,102,audit_log,"if add_column_if_missing(cur, ""operator_audit_log"", col, col_def):"
audit_logger.py,102,operator_audit_log,"if add_column_if_missing(cur, ""operator_audit_log"", col, col_def):"
audit_logger.py,105,audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_created ON operator_audit_log(created_at)"")"
audit_logger.py,105,operator_audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_created ON operator_audit_log(created_at)"")"
audit_logger.py,106,audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_operator ON operator_audit_log(operator_id)"")"
audit_logger.py,106,operator_audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_operator ON operator_audit_log(operator_id)"")"
audit_logger.py,107,audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_user ON operator_audit_log(user_id)"")"
audit_logger.py,107,operator_audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_user ON operator_audit_log(user_id)"")"
audit_logger.py,108,audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_actor ON operator_audit_log(actor_type)"")"
audit_logger.py,108,operator_audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_actor ON operator_audit_log(actor_type)"")"
audit_logger.py,109,audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_action ON operator_audit_log(action_type)"")"
audit_logger.py,109,operator_audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_action ON operator_audit_log(action_type)"")"
audit_logger.py,110,audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_table_row ON operator_audit_log(table_name, row_id)"")"
audit_logger.py,110,operator_audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_table_row ON operator_audit_log(table_name, row_id)"")"
audit_logger.py,111,audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_review ON operator_audit_log(review_status)"")"
audit_logger.py,111,operator_audit_log,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_review ON operator_audit_log(review_status)"")"
audit_logger.py,116,audit_log,def audit_log(
audit_logger.py,145,audit_log,ensure_audit_log(conn)
audit_logger.py,168,audit_log,"cols = table_columns(cur, ""operator_audit_log"")"
audit_logger.py,168,operator_audit_log,"cols = table_columns(cur, ""operator_audit_log"")"
audit_logger.py,173,operator_audit_log,"f""INSERT INTO operator_audit_log ({', '.join(insert_cols)}) VALUES ({placeholders})"","
audit_logger.py,173,audit_log,"f""INSERT INTO operator_audit_log ({', '.join(insert_cols)}) VALUES ({placeholders})"","
audit_logger.py,204,audit_log,return audit_log(
audit_logger.py,232,audit_log,return audit_log(
audit_logger.py,255,audit_log,audit_id = audit_log(
audit_logger.py,260,audit_log,"action_type=""audit_logger_self_test"","
audit_logger.py,261,audit_log,"table_name=""operator_audit_log"","
audit_logger.py,261,operator_audit_log,"table_name=""operator_audit_log"","
audit_logger.py,266,audit_log,"source_context=""audit_logger.py self-test"","
audit_logger.py,268,audit_log,"extra={""module"": ""audit_logger.py""},"
audit_logger.py,291,audit_log,"print(""audit_logger.py is a helper module."")"
audit_osbb_telegram_messages.py,1,pathlib,from pathlib import Path
audit_osbb_telegram_messages.py,5,datetime,from datetime import datetime
audit_osbb_telegram_messages.py,13,config,from config import paths
audit_osbb_telegram_messages.py,84,telegram_chats,FROM telegram_chats
audit_osbb_telegram_messages.py,91,telegram_messages,FROM telegram_messages
audit_osbb_telegram_messages.py,104,telegram_messages,FROM telegram_messages
audit_osbb_telegram_messages.py,109,apartments,apartments = set()
audit_osbb_telegram_messages.py,122,apartments,apartments.add(m.group(1))
audit_osbb_telegram_messages.py,153,apartments,"lines.append(f""Apartments found : {len(apartments)}"")"
audit_osbb_telegram_messages.py,158,apartments,"lines.append(""Apartments:"")"
audit_osbb_telegram_messages.py,159,apartments,"lines.append("", "".join(sorted(apartments)[:200]))"
audit_registry.py,1,pathlib,from pathlib import Path
audit_registry.py,4,datetime,from datetime import datetime
audit_registry.py,12,config,from config import paths
audit_registry.py,62,apartments,"""apartments"","
audit_registry.py,63,persons,"""persons"","
audit_registry.py,64,vehicles,"""vehicles"","
audit_registry.py,65,contact_methods,"""contact_methods"","
audit_registry.py,68,audit_log,"""audit_log"","
audit_registry.py,74,in,for table in tables:
audit_registry.py,80,not,"report.add(f""{table:20}: table not found"")"
audit_registry.py,82,apartments,"report.section(""APARTMENTS BY SOURCE"")"
audit_registry.py,88,apartments,FROM apartments
audit_registry.py,97,PAPER,"report.section(""APARTMENTS CREATED FROM PAPER PARKING"")"
audit_registry.py,97,apartments,"report.section(""APARTMENTS CREATED FROM PAPER PARKING"")"
audit_registry.py,103,apartments,FROM apartments
audit_registry.py,118,apartments,"report.section(""APARTMENTS WITHOUT PERSONS"")"
audit_registry.py,118,persons,"report.section(""APARTMENTS WITHOUT PERSONS"")"
audit_registry.py,124,apartments,FROM apartments a
audit_registry.py,125,persons,LEFT JOIN persons p ON p.apartment_id = a.id
audit_registry.py,136,apartments,"report.section(""APARTMENTS WITH MULTIPLE PERSON RECORDS"")"
audit_registry.py,141,persons,"SELECT a.apartment_number, COUNT(p.id) AS persons_count"
audit_registry.py,142,apartments,FROM apartments a
audit_registry.py,143,persons,JOIN persons p ON p.apartment_id = a.id
audit_registry.py,146,persons,"ORDER BY persons_count DESC, a.apartment_number"
audit_registry.py,153,persons,"report.add(f""{apartment_number:10} persons={count}"")"
audit_registry.py,155,vehicles,"report.section(""VEHICLES WITHOUT LICENSE PLATE"")"
audit_registry.py,161,vehicles,FROM vehicles v
audit_registry.py,162,apartments,JOIN apartments a ON a.id = v.apartment_id
audit_registry.py,173,vehicles,"report.section(""VEHICLES WITHOUT CAR MODEL"")"
audit_registry.py,179,vehicles,FROM vehicles v
audit_registry.py,180,apartments,JOIN apartments a ON a.id = v.apartment_id
audit_registry.py,197,vehicles,FROM vehicles
audit_registry.py,214,vehicles,FROM vehicles v
audit_registry.py,215,apartments,JOIN apartments a ON a.id = v.apartment_id
audit_registry.py,234,apartments,FROM apartments
audit_tbot_quarantine.py,1,pathlib,from pathlib import Path
audit_tbot_quarantine.py,4,datetime,from datetime import datetime
audit_tbot_quarantine.py,12,config,from config import paths
audit_tbot_quarantine.py,13,utils,"from utils import norm_text, norm_apartment"
audit_tbot_quarantine.py,62,apartments,FROM apartments a
audit_tbot_quarantine.py,63,persons,LEFT JOIN persons p ON p.apartment_id = a.id
audit_tbot_quarantine.py,64,vehicles,LEFT JOIN vehicles v ON v.apartment_id = a.id
audit_tbot_quarantine.py,135,tbot_parking_import,FROM tbot_parking_import
audit_tbot_quarantine.py,232,apartments,"report.add(f""Main apartments        : {len(main_apts)}"")"
audit_tbot_quarantine.py,233,apartments,"report.add(f""TBot apartments        : {len(tbot_apts)}"")"
audit_tbot_quarantine.py,238,apartments,"report.section(""APARTMENTS ONLY IN TBOT"")"
audit_tbot_quarantine.py,273,TBOT,"report.section(""OWNERSHIP TYPE FROM TBOT"")"
audit_tbot_quarantine.py,438,source_files,FROM source_files
audit_tbot_quarantine.py,455,error,"report.add(f""source_files table error: {e}"")"
billing/build_parking_time_review_tasks.py,1,pathlib,from pathlib import Path
billing/build_parking_time_review_tasks.py,4,datetime,from datetime import datetime
billing/build_parking_time_review_tasks.py,14,config,from config import paths
billing/build_parking_time_review_tasks.py,17,parking_time_review_tasks,"CREATED_BY = ""build_parking_time_review_tasks"""
billing/build_parking_time_review_tasks.py,27,IF,CREATE TABLE IF NOT EXISTS parking_time_review_tasks (
billing/build_parking_time_review_tasks.py,27,parking_time_review_tasks,CREATE TABLE IF NOT EXISTS parking_time_review_tasks (
billing/build_parking_time_review_tasks.py,62,parking_time_review_tasks,ON parking_time_review_tasks(status)
billing/build_parking_time_review_tasks.py,67,parking_time_review_tasks,ON parking_time_review_tasks(apartment_number)
billing/build_parking_time_review_tasks.py,74,parking_time_review_tasks,DELETE FROM parking_time_review_tasks
billing/build_parking_time_review_tasks.py,89,vehicles,FROM vehicles v
billing/build_parking_time_review_tasks.py,90,apartments,JOIN apartments a
billing/build_parking_time_review_tasks.py,108,parking_time_review_tasks,INSERT INTO parking_time_review_tasks (
billing/build_parking_time_review_tasks.py,126,vehicles,"'vehicles',"
billing/build_parking_time_review_tasks.py,177,parking_time_review_tasks,FROM parking_time_review_tasks
billing/import_ohorona_parking_time.py,1,pathlib,from pathlib import Path
billing/import_ohorona_parking_time.py,6,datetime,from datetime import datetime
billing/import_ohorona_parking_time.py,7,collections,from collections import defaultdict
billing/import_ohorona_parking_time.py,9,openpyxl,from openpyxl import load_workbook
billing/import_ohorona_parking_time.py,20,config,from config import paths
billing/import_ohorona_parking_time.py,153,vehicles,def load_db_vehicles():
billing/import_ohorona_parking_time.py,167,vehicles,FROM vehicles v
billing/import_ohorona_parking_time.py,168,apartments,JOIN apartments a ON a.id = v.apartment_id
billing/import_ohorona_parking_time.py,179,vehicles,vehicles = defaultdict(list)
billing/import_ohorona_parking_time.py,183,vehicles,vehicles[apt].append(dict(row))
billing/import_ohorona_parking_time.py,186,vehicles,return vehicles
billing/import_ohorona_parking_time.py,201,apartments,"def classify_apartments(hints, vehicles):"
billing/import_ohorona_parking_time.py,201,vehicles,"def classify_apartments(hints, vehicles):"
billing/import_ohorona_parking_time.py,207,vehicles,"all_apts = sorted(set(hints.keys()) | set(vehicles.keys()), key=apt_sort_key)"
billing/import_ohorona_parking_time.py,211,vehicles,"vs = vehicles.get(apt, [])"
billing/import_ohorona_parking_time.py,227,vehicles,"missing_vehicles = [v for v in vs if not v.get(""parking_time"")]"
billing/import_ohorona_parking_time.py,236,vehicles,and len(missing_vehicles) == len(vs)
billing/import_ohorona_parking_time.py,245,vehicles,"operator_needed.append((apt, h, vs, missing_vehicles, existing_filled))"
billing/import_ohorona_parking_time.py,250,vehicles,"def write_report(hints, vehicles, classified, report_file: Path):"
billing/import_ohorona_parking_time.py,267,apartments,"lines.append(f""Apartments with tariff hints        : {len(hints)}"")"
billing/import_ohorona_parking_time.py,268,apartments,"lines.append(f""Apartments with vehicles in DB      : {len(vehicles)}"")"
billing/import_ohorona_parking_time.py,268,vehicles,"lines.append(f""Apartments with vehicles in DB      : {len(vehicles)}"")"
billing/import_ohorona_parking_time.py,269,apartments,"lines.append(f""Auto-fill safe apartments           : {len(auto_safe)}"")"
billing/import_ohorona_parking_time.py,270,apartments,"lines.append(f""Operator-needed apartments          : {len(operator_needed)}"")"
billing/import_ohorona_parking_time.py,271,vehicles,"lines.append(f""Hints without vehicles in DB        : {len(hints_without_db)}"")"
billing/import_ohorona_parking_time.py,302,vehicles,"lines.append(f""Action    : set parking_time = {auto_time} for all vehicles of this apartment"")"
billing/import_ohorona_parking_time.py,303,vehicles,"lines.append(""Vehicles:"")"
billing/import_ohorona_parking_time.py,313,vehicles,"for apt, h, vs, missing_vehicles, existing_filled in operator_needed:"
billing/import_ohorona_parking_time.py,318,vehicles,"lines.append(f""Missing   : {len(missing_vehicles)}"")"
billing/import_ohorona_parking_time.py,327,vehicles,"lines.append(""Vehicles:"")"
billing/import_ohorona_parking_time.py,333,vehicles,"lines.append(""HINTS WITHOUT VEHICLES IN DB"")"
billing/import_ohorona_parking_time.py,372,vehicles,UPDATE vehicles
billing/import_ohorona_parking_time.py,409,vehicles,vehicles = load_db_vehicles()
billing/import_ohorona_parking_time.py,410,apartments,"classified = classify_apartments(hints, vehicles)"
billing/import_ohorona_parking_time.py,410,vehicles,"classified = classify_apartments(hints, vehicles)"
billing/import_ohorona_parking_time.py,416,vehicles,"write_report(hints, vehicles, classified, report_file)"
billing/import_ohorona_parking_time.py,426,vehicles,"print(f""Updated vehicles: {updated}"")"
billing/import_ohorona_parking_time_simple_preview.py,1,pathlib,from pathlib import Path
billing/import_ohorona_parking_time_simple_preview.py,6,datetime,from datetime import datetime
billing/import_ohorona_parking_time_simple_preview.py,7,collections,from collections import defaultdict
billing/import_ohorona_parking_time_simple_preview.py,9,openpyxl,from openpyxl import load_workbook
billing/import_ohorona_parking_time_simple_preview.py,20,config,from config import paths
billing/import_ohorona_parking_time_simple_preview.py,153,vehicles,def load_db_vehicles():
billing/import_ohorona_parking_time_simple_preview.py,167,vehicles,FROM vehicles v
billing/import_ohorona_parking_time_simple_preview.py,168,apartments,JOIN apartments a ON a.id = v.apartment_id
billing/import_ohorona_parking_time_simple_preview.py,179,vehicles,vehicles = defaultdict(list)
billing/import_ohorona_parking_time_simple_preview.py,183,vehicles,vehicles[apt].append(dict(row))
billing/import_ohorona_parking_time_simple_preview.py,186,vehicles,return vehicles
billing/import_ohorona_parking_time_simple_preview.py,201,apartments,"def classify_apartments(hints, vehicles):"
billing/import_ohorona_parking_time_simple_preview.py,201,vehicles,"def classify_apartments(hints, vehicles):"
billing/import_ohorona_parking_time_simple_preview.py,207,vehicles,"all_apts = sorted(set(hints.keys()) | set(vehicles.keys()), key=apt_sort_key)"
billing/import_ohorona_parking_time_simple_preview.py,211,vehicles,"vs = vehicles.get(apt, [])"
billing/import_ohorona_parking_time_simple_preview.py,227,vehicles,"missing_vehicles = [v for v in vs if not v.get(""parking_time"")]"
billing/import_ohorona_parking_time_simple_preview.py,236,vehicles,and len(missing_vehicles) == len(vs)
billing/import_ohorona_parking_time_simple_preview.py,245,vehicles,"operator_needed.append((apt, h, vs, missing_vehicles, existing_filled))"
billing/import_ohorona_parking_time_simple_preview.py,262,vehicles,"def write_simple_preview_section(lines, hints, vehicles):"
billing/import_ohorona_parking_time_simple_preview.py,272,vehicles,"vs = vehicles.get(apt, [])"
billing/import_ohorona_parking_time_simple_preview.py,285,vehicles,"def write_report(hints, vehicles, classified, report_file: Path):"
billing/import_ohorona_parking_time_simple_preview.py,289,vehicles,"write_simple_preview_section(lines, hints, vehicles)"
billing/import_ohorona_parking_time_simple_preview.py,304,apartments,"lines.append(f""Apartments with tariff hints        : {len(hints)}"")"
billing/import_ohorona_parking_time_simple_preview.py,305,apartments,"lines.append(f""Apartments with vehicles in DB      : {len(vehicles)}"")"
billing/import_ohorona_parking_time_simple_preview.py,305,vehicles,"lines.append(f""Apartments with vehicles in DB      : {len(vehicles)}"")"
billing/import_ohorona_parking_time_simple_preview.py,306,apartments,"lines.append(f""Auto-fill safe apartments           : {len(auto_safe)}"")"
billing/import_ohorona_parking_time_simple_preview.py,307,apartments,"lines.append(f""Operator-needed apartments          : {len(operator_needed)}"")"
billing/import_ohorona_parking_time_simple_preview.py,308,vehicles,"lines.append(f""Hints without vehicles in DB        : {len(hints_without_db)}"")"
billing/import_ohorona_parking_time_simple_preview.py,339,vehicles,"lines.append(f""Action    : set parking_time = {auto_time} for all vehicles of this apartment"")"
billing/import_ohorona_parking_time_simple_preview.py,340,vehicles,"lines.append(""Vehicles:"")"
billing/import_ohorona_parking_time_simple_preview.py,350,vehicles,"for apt, h, vs, missing_vehicles, existing_filled in operator_needed:"
billing/import_ohorona_parking_time_simple_preview.py,355,vehicles,"lines.append(f""Missing   : {len(missing_vehicles)}"")"
billing/import_ohorona_parking_time_simple_preview.py,364,vehicles,"lines.append(""Vehicles:"")"
billing/import_ohorona_parking_time_simple_preview.py,370,vehicles,"lines.append(""HINTS WITHOUT VEHICLES IN DB"")"
billing/import_ohorona_parking_time_simple_preview.py,409,vehicles,UPDATE vehicles
billing/import_ohorona_parking_time_simple_preview.py,446,vehicles,vehicles = load_db_vehicles()
billing/import_ohorona_parking_time_simple_preview.py,447,apartments,"classified = classify_apartments(hints, vehicles)"
billing/import_ohorona_parking_time_simple_preview.py,447,vehicles,"classified = classify_apartments(hints, vehicles)"
billing/import_ohorona_parking_time_simple_preview.py,453,vehicles,"write_report(hints, vehicles, classified, report_file)"
billing/import_ohorona_parking_time_simple_preview.py,463,vehicles,"print(f""Updated vehicles: {updated}"")"
billing/import_parking_time_hints_from_ohorona.py,1,pathlib,from pathlib import Path
billing/import_parking_time_hints_from_ohorona.py,5,datetime,from datetime import datetime
billing/import_parking_time_hints_from_ohorona.py,6,collections,from collections import defaultdict
billing/import_parking_time_hints_from_ohorona.py,8,openpyxl,from openpyxl import load_workbook
billing/import_parking_time_hints_from_ohorona.py,18,config,from config import paths
billing/import_parking_time_hints_from_ohorona.py,136,vehicles,def load_db_vehicles():
billing/import_parking_time_hints_from_ohorona.py,149,vehicles,FROM vehicles v
billing/import_parking_time_hints_from_ohorona.py,150,apartments,JOIN apartments a ON a.id = v.apartment_id
billing/import_parking_time_hints_from_ohorona.py,164,vehicles,vehicles = defaultdict(list)
billing/import_parking_time_hints_from_ohorona.py,175,vehicles,vehicles[str(apartment_number)].append({
billing/import_parking_time_hints_from_ohorona.py,184,vehicles,return vehicles
billing/import_parking_time_hints_from_ohorona.py,206,vehicles,vehicles = load_db_vehicles()
billing/import_parking_time_hints_from_ohorona.py,214,vehicles,"set(hints.keys()) | set(vehicles.keys()),"
billing/import_parking_time_hints_from_ohorona.py,225,vehicles,"vs = vehicles.get(apt, [])"
billing/import_parking_time_hints_from_ohorona.py,246,vehicles,missing_vehicles = [
billing/import_parking_time_hints_from_ohorona.py,258,vehicles,and len(missing_vehicles) == len(vs)
billing/import_parking_time_hints_from_ohorona.py,271,vehicles,"missing_vehicles,"
billing/import_parking_time_hints_from_ohorona.py,286,apartments,"lines.append(f""Apartments with hints              : {len(hints)}"")"
billing/import_parking_time_hints_from_ohorona.py,287,apartments,"lines.append(f""Apartments with vehicles in DB      : {len(vehicles)}"")"
billing/import_parking_time_hints_from_ohorona.py,287,vehicles,"lines.append(f""Apartments with vehicles in DB      : {len(vehicles)}"")"
billing/import_parking_time_hints_from_ohorona.py,288,apartments,"lines.append(f""Auto-fill safe apartments           : {len(auto_safe)}"")"
billing/import_parking_time_hints_from_ohorona.py,289,apartments,"lines.append(f""Operator-needed apartments          : {len(operator_needed)}"")"
billing/import_parking_time_hints_from_ohorona.py,290,vehicles,"lines.append(f""Hints without vehicles in DB        : {len(hints_without_db)}"")"
billing/import_parking_time_hints_from_ohorona.py,304,vehicles,"lines.append(f""Action    : set parking_time = {auto_time} for all vehicles"")"
billing/import_parking_time_hints_from_ohorona.py,305,vehicles,"lines.append(""Vehicles:"")"
billing/import_parking_time_hints_from_ohorona.py,316,vehicles,"for apt, h, vs, missing_vehicles, existing_filled in operator_needed:"
billing/import_parking_time_hints_from_ohorona.py,321,vehicles,"lines.append(f""Missing   : {len(missing_vehicles)}"")"
billing/import_parking_time_hints_from_ohorona.py,328,vehicles,"lines.append(""Vehicles:"")"
billing/import_parking_time_hints_from_ohorona.py,334,vehicles,"lines.append(""HINTS WITHOUT VEHICLES IN DB"")"
billing/migrate_add_parking_billing.py,1,pathlib,from pathlib import Path
billing/migrate_add_parking_billing.py,4,datetime,from datetime import datetime
billing/migrate_add_parking_billing.py,12,config,from config import paths
billing/migrate_add_parking_billing.py,24,IF,CREATE TABLE IF NOT EXISTS parking_tariffs (
billing/migrate_add_parking_billing.py,35,parking_tariffs,INSERT OR IGNORE INTO parking_tariffs
billing/migrate_add_parking_billing.py,43,IF,CREATE TABLE IF NOT EXISTS billing_periods (
billing/migrate_add_parking_billing.py,56,IF,CREATE TABLE IF NOT EXISTS parking_charges (
billing/migrate_add_parking_billing.py,56,charges,CREATE TABLE IF NOT EXISTS parking_charges (
billing/migrate_add_parking_billing.py,82,billing_periods,"FOREIGN KEY(billing_period_id) REFERENCES billing_periods(id),"
billing/migrate_add_parking_billing.py,83,apartments,"FOREIGN KEY(apartment_id) REFERENCES apartments(id),"
billing/migrate_add_parking_billing.py,84,vehicles,FOREIGN KEY(vehicle_id) REFERENCES vehicles(id)
billing/migrate_add_parking_billing.py,89,IF,CREATE TABLE IF NOT EXISTS parking_payments (
billing/migrate_add_parking_billing.py,89,payments,CREATE TABLE IF NOT EXISTS parking_payments (
billing/migrate_add_parking_billing.py,111,parking_charges,"FOREIGN KEY(parking_charge_id) REFERENCES parking_charges(id),"
billing/migrate_add_parking_billing.py,111,charges,"FOREIGN KEY(parking_charge_id) REFERENCES parking_charges(id),"
billing/migrate_add_parking_billing.py,112,billing_periods,FOREIGN KEY(billing_period_id) REFERENCES billing_periods(id)
billing/migrate_add_parking_billing.py,117,IF,CREATE TABLE IF NOT EXISTS cashboxes (
billing/migrate_add_parking_billing.py,117,cashboxes,CREATE TABLE IF NOT EXISTS cashboxes (
billing/migrate_add_parking_billing.py,129,IF,CREATE TABLE IF NOT EXISTS cash_transfers (
billing/migrate_add_parking_billing.py,146,charges,CREATE INDEX IF NOT EXISTS idx_parking_charges_period
billing/migrate_add_parking_billing.py,147,charges,ON parking_charges(billing_period_id)
billing/migrate_add_parking_billing.py,151,charges,CREATE INDEX IF NOT EXISTS idx_parking_charges_apartment
billing/migrate_add_parking_billing.py,152,charges,ON parking_charges(apartment_number)
billing/migrate_add_parking_billing.py,156,charges,CREATE INDEX IF NOT EXISTS idx_parking_charges_status
billing/migrate_add_parking_billing.py,157,charges,ON parking_charges(payment_status)
billing/migrate_add_parking_billing.py,161,payments,CREATE INDEX IF NOT EXISTS idx_parking_payments_charge
billing/migrate_add_parking_billing.py,162,payments,ON parking_payments(parking_charge_id)
billing/report_parking_time_review_tasks.py,1,pathlib,from pathlib import Path
billing/report_parking_time_review_tasks.py,4,datetime,from datetime import datetime
billing/report_parking_time_review_tasks.py,5,collections,from collections import defaultdict
billing/report_parking_time_review_tasks.py,15,config,from config import paths
billing/report_parking_time_review_tasks.py,16,utils,from utils import apartment_sort_sql
billing/report_parking_time_review_tasks.py,40,telegram_facts,FROM telegram_facts
billing/report_parking_time_review_tasks.py,67,parking_time_review_tasks,"report_file = report_dir / f""parking_time_review_tasks_{now_ts()}.txt"""
billing/report_parking_time_review_tasks.py,78,parking_time_review_tasks,FROM parking_time_review_tasks
billing/report_parking_time_review_tasks.py,85,parking_time_review_tasks,FROM parking_time_review_tasks
billing/report_parking_time_review_tasks.py,94,apartments,"lines.append(f""Apartments affected: {apt_count}"")"
billing/report_parking_time_review_tasks.py,109,parking_time_review_tasks,FROM parking_time_review_tasks
billing/report_parking_time_review_tasks.py,140,vehicles,FROM vehicles v
billing/report_parking_time_review_tasks.py,141,apartments,JOIN apartments a
